taxid,weight
10255,1.0
1036614,0.05555555555555555
10398,1.0
10449,1.0
1056833,0.04
1075774,0.08333333333333333
10759,0.125
1076255,0.3333333333333333
1087482,0.25
1089129,0.04
1094892,1.125
110457,0.08333333333333333
1109716,0.04
11120,39.16666666666667
11152,3.8333333333333335
1130981,1.0
1141136,0.5
1161933,0.04
1176425,0.04
1204531,0.25
1204537,0.25
1211282,0.04
1211641,0.25
1211644,0.25
1225862,0.04
1235661,1.0
1246651,0.5
12657,1.0
1269028,0.125
1327971,1.0
1335230,1.0
1340821,0.05555555555555555
1349409,1.0
1385427,1.0
1391428,1.0
1399941,1.0
1406793,1.0
1416009,1.0
1429791,0.04
1434319,2.0
1445714,0.04
1445715,0.04
1445860,0.25
1458846,0.04
1468411,0.2
1486425,0.04
1527463,0.05555555555555555
1536611,0.041666666666666664
154334,1.0
1555208,0.2
1557033,1.0
1566307,0.3333333333333333
1567013,1.0
1573458,1.0
1608107,1.0
1610508,0.041666666666666664
1610836,0.2
1610837,0.2
1610838,0.2
1636313,0.041666666666666664
1636314,0.041666666666666664
1647385,1.0
1647405,3.0
1661257,1.0
1662284,0.05555555555555555
1662463,0.041666666666666664
1755681,0.04
1772332,1.0
1805464,0.08333333333333333
1805465,0.08333333333333333
1821555,0.5
1838071,0.5
1852630,0.041666666666666664
1871708,0.041666666666666664
1883374,1.0
1883377,1.0
1897434,0.041666666666666664
1897540,0.04
1897548,0.04
1906244,1.0
1916120,0.04
1922360,1.0
1927024,0.04
1932895,0.05555555555555555
1970794,0.05555555555555555
1980924,1.0
1986290,1.0
2010329,1.0
2023057,0.3333333333333333
2024248,0.041666666666666664
2024251,0.041666666666666664
2026082,0.25
2027903,0.05555555555555555
2041413,0.25
2041511,0.5
2041522,0.04
2041524,0.04
2042482,0.3333333333333333
2047872,1.0
205908,1.0
2065199,1.0
2100130,1.0
2107709,1.0
2115848,0.2
212035,0.125
2126724,1.0
2126810,0.05555555555555555
2163979,0.25
2170199,1.0
2182394,0.05555555555555555
2218617,0.2
2218618,0.2
2218619,0.2
2218620,0.2
2283269,0.25
2283270,0.5
2283272,0.5
2301570,0.05555555555555555
2301608,0.04
2301650,0.041666666666666664
2304025,1.0
2315711,0.05555555555555555
233894,0.25
2500581,1.0
2507863,0.5
2510941,1.0
2517961,0.04
2517966,0.05555555555555555
2530128,0.05555555555555555
257816,0.6666666666666666
2591129,0.05555555555555555
2592659,0.05555555555555555
2599843,0.2
2599845,0.2
2599848,0.2
2599849,0.2
260797,0.5
2656541,2.0
2656545,0.2
2686232,0.04
268747,1.0
2696340,1.0
2704043,0.05555555555555555
2743996,0.05555555555555555
2762283,1.0
2772078,1.0
2772094,0.5
2772095,0.5
2772511,0.5
2776876,0.05555555555555555
2902839,0.04
2902881,0.04
317858,1.0
342409,1.0
39420,1.0
39640,1.0
455364,1.125
483537,1.0
508441,1.0
52280,1.0
529929,0.08333333333333333
543152,1.0
59749,1.0
663557,0.04
754038,1.0
879628,0.25
880159,0.125
910473,1.0
no match,1419.3749999999934
